单位详细情况             A_单位序列
单位详细情况备份         A_单位序列备份
基本情况                 A_基本情况
减员                     A_减员
编制                     A_编制
减编                     A_减编
档案基本情况             A_档案情况
上报档案                 A_上报档案情况
转业单位序列             A_转业单位序列
转业安置去向             A_转业安置去向
转业干部基本             A_转业复员
任免业务库               B_任免业务
骨干情况                 B_骨干信息
配偶情况                 F_配偶情况
参加社会团体情况         F_参加团体情况
参战(重大活动)情况       F_参战情况
出国情况                 F_出国情况
德才表现情况             F_德才表现情况
入伍前简历               F_入伍前简历
入伍后简历               F_入伍后简历
党内任职简历             F_党内任职简历
军衔文职级简历           F_军衔文职级简历
工资档次简历             F_工资档次简历
奖惩情况                 F_奖惩情况
健康情况                 F_健康情况
考核情况                 F_考核情况
科技奖励情况             F_科技奖励情况
社会关系情况             F_社会关系情况
受训情况                 F_受训情况
著述情况                 F_著述情况
专家情况                 F_专家情况
校对条件                 M_校对规则
学员校对条件             MX_校对规则
离退休干部单位情况       OA_单位序列
离退休干部基本情况       OA_基本情况
离退休干部爱人情况       OF_配偶情况
离退休干部直系亲属情况   OF_直系亲属
离退休干部参战情况       OF_参战情况
离退休干部入伍前简历     OF_入伍前简历
离退休干部入伍后简历     OF_入伍后简历
离退休干部党内任职简历   OF_党内任职简历
离退休干部军衔文职简历   OF_军衔文职级简历
离退休干部奖惩情况       OF_奖惩情况
离退休干部五委任职       OF_五委任职
离退休干部参加社团       OF_参加社团
离退休干部单位奖励       OF_单位奖励
离退休干部服务机构       OA_服务机构
离退休干部单位工作人员   OA_工作人员
离退休干部单位规划安置   OA_规划安置数
离退休干部校对条件       OZ_校对规则
干部照片情况             S_干部照片
扫描档案情况             S_扫描档案
档案借查阅情况           S_档案借查阅
零星材料情况             S_零星材料
校对结果库               T_校对结果
调配校对条件             TJ_校对规则
工资津贴情况             W_工资津贴情况
休假探亲情况             W_休假探亲情况
幼儿园情况               W_幼儿园情况
子女校情况               W_子女校情况
教职人员情况             W_教职人员情况
遗属情况                 W_遗属情况
疗养院情况               W_疗养院情况
审计信息                 W_审计
院校情况                 X_单位序列
学员基本情况             X_在校学员
在校学员历史库           X_老生库
学员减员临时库           X_减员临时库
学员变动情况             X_变动情况
送学人员情况             X_送学情况
大单位情况               X_大单位
院校专业情况             X_院校专业
预备役单位信息           Y_单位序列
预备役基本情况           Y_基本情况
预备役减员               Y_减员
预备役编制               Y_编制
预备役培训               Y_培训
预备役主要简历           Y_主要简历
预备役重大活动           Y_重大活动
预备役参战情况           Y_参战情况
预备役干部奖惩           Y_干部奖惩
数据校对条件             Z_校对规则
标准库代码对照           Z_代码对照
查询条件库               Z_条件
附库查询条件             Z_附库条件
福利查询条件             Z_福利查询条件
虚字段                   Z_虚字段
调配分库管理             Z_调配分库
福利校对条件             Z_福利校对规则
学员校对条件             ZX_校对规则
预备役校对条件           ZY_校对规则
